,Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,day_x,weekend_x,prev_Calories Burned,prev_Steps,prev_Distance,prev_Floors,prev_Minutes Sedentary,prev_Minutes Lightly Active,prev_Minutes Fairly Active,prev_Minutes Very Active,prev_Activity Calories,General,Georgia Tech,News,Social Media,Sports,Video Streaming,Work,Total
0,2018-06-01,403,50,19,453,85,222,96,2.963,10706,6.28,7,752,221,40,46,1.527,4,0,2.686,8721.0,5.29,4.0,650.0,288.0,6.0,2.0,1.233,4.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,265
1,2018-06-02,333,57,29,390,50,223,60,2.629,8967,5.29,14,589,202,12,28,1.114,5,1,2.963,10706.0,6.28,7.0,752.0,221.0,40.0,46.0,1.527,64.21666666666667,0.0,0.0,0.0,3.466666666666667,2.0166666666666666,0.0,4182
2,2018-06-03,388,42,26,430,54,251,83,2.411,5189,2.91,2,847,176,22,5,0.862,6,1,2.629,8967.0,5.29,14.0,589.0,202.0,12.0,28.0,1.114,39.55,0.0,0.0,5.75,9.733333333333333,104.45,0.0,9569
3,2018-06-04,369,45,25,414,92,203,74,2.981,8987,5.49,7,703,247,12,48,1.502,0,0,2.411,5189.0,2.91,2.0,847.0,176.0,22.0,5.0,0.862,18.383333333333333,2.6333333333333333,0.0,0.16666666666666666,0.0,56.31666666666667,0.0,4650
4,2018-06-05,350,62,21,412,67,204,79,2.382,6405,4.08,8,648,175,7,14,0.841,1,0,2.981,8987.0,5.49,7.0,703.0,247.0,12.0,48.0,1.502,6.0,0.1,0.0,0.0,0.0,47.38333333333333,0.0,3209
5,2018-06-06,373,62,20,435,81,223,69,2.896,10226,6.5,12,752,199,30,47,1.407,2,0,2.382,6405.0,4.08,8.0,648.0,175.0,7.0,14.0,0.841,1.4166666666666667,0.0,0.0,0.0,0.0,2.8,0.0,253
6,2018-06-07,414,54,33,468,71,277,66,3.001,11224,7.18,7,715,194,26,70,1.55,3,0,2.896,10226.0,6.5,12.0,752.0,199.0,30.0,47.0,1.407,0.48333333333333334,0.0,0.0,0.0,0.0,10.283333333333333,0.0,646
7,2018-06-08,498,85,28,583,124,251,123,2.587,8040,4.2,12,737,216,8,11,1.072,4,0,3.001,11224.0,7.18,7.0,715.0,194.0,26.0,70.0,1.55,19.35,0.0,0.0,0.0,0.0,0.2,0.0,1173
8,2018-06-09,402,61,27,463,69,234,99,3.756,17206,13.06,29,473,200,43,141,2.425,5,1,2.587,8040.0,4.2,12.0,737.0,216.0,8.0,11.0,1.072,21.966666666666665,5.233333333333333,0.0,5.5,0.0,39.166666666666664,1.9333333333333333,4428
9,2018-06-10,337,78,28,415,14,252,71,3.716,21144,15.49,22,572,230,39,136,2.41,6,1,3.756,17206.0,13.06,29.0,473.0,200.0,43.0,141.0,2.425,64.45,2.8,0.0,1.8666666666666667,0.0,9.716666666666667,0.16666666666666666,4740
10,2018-06-11,384,91,28,475,100,205,79,2.356,6104,3.76,7,815,210,0,0,0.831,0,0,3.716,21144.0,15.49,22.0,572.0,230.0,39.0,136.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,2018-06-12,406,45,30,451,84,228,94,2.699,9572,5.42,5,704,185,51,25,1.263,1,0,2.356,6104.0,3.76,7.0,815.0,210.0,0.0,0.0,0.831,48.6,20.366666666666667,0.0,1.8333333333333333,0.0,0.05,3.433333333333333,4457
12,2018-06-13,392,71,29,463,67,227,98,2.927,12160,9.34,26,716,177,49,47,1.491,2,0,2.699,9572.0,5.42,5.0,704.0,185.0,51.0,25.0,1.263,48.7,4.733333333333333,0.0,0.0,0.0,0.0,0.016666666666666666,3207
13,2018-06-14,416,63,27,479,72,265,79,2.642,10963,7.33,18,751,180,20,26,1.134,3,0,2.927,12160.0,9.34,26.0,716.0,177.0,49.0,47.0,1.491,39.63333333333333,0.1,0.0,0.0,0.0,0.0,0.0,2384
14,2018-06-15,398,105,29,503,67,250,81,2.725,9693,5.78,5,679,248,27,7,1.26,4,0,2.642,10963.0,7.33,18.0,751.0,180.0,20.0,26.0,1.134,11.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,670
15,2018-06-16,470,69,37,539,69,297,104,3.597,18706,12.84,15,457,210,34,126,2.251,5,1,2.725,9693.0,5.78,5.0,679.0,248.0,27.0,7.0,1.26,81.63333333333334,0.0,0.0,0.0,0.0,10.166666666666666,0.0,5508
16,2018-06-17,380,56,38,436,76,227,77,2.672,10295,7.01,8,631,136,10,58,1.098,6,1,3.597,18706.0,12.84,15.0,457.0,210.0,34.0,126.0,2.251,36.9,2.9,0.0,6.716666666666667,0.0,0.0,0.0,2791
17,2018-06-18,386,64,23,450,65,240,81,2.749,10545,6.63,7,720,263,12,9,1.309,0,0,2.672,10295.0,7.01,8.0,631.0,136.0,10.0,58.0,1.098,17.933333333333334,0.0,0.0,2.2,0.0,0.0,0.0,1208
18,2018-06-19,378,52,25,430,101,208,69,2.646,9345,5.88,4,720,242,23,5,1.185,1,0,2.749,10545.0,6.63,7.0,720.0,263.0,12.0,9.0,1.309,23.116666666666667,2.25,0.0,0.06666666666666667,0.0,0.9,13.233333333333333,2374
19,2018-06-20,363,46,34,409,58,233,72,3.067,12570,10.42,28,729,209,11,61,1.61,2,0,2.646,9345.0,5.88,4.0,720.0,242.0,23.0,5.0,1.185,16.783333333333335,1.75,0.0,0.0,0.0,0.0,25.266666666666666,2628
20,2018-06-22,400,56,29,456,79,233,88,2.739,8595,5.0,12,1155,258,12,15,1.246,4,0,2.629,8036.0,5.02,8.0,801.0,175.0,45.0,10.0,1.088,11.383333333333333,6.1,0.0,3.1166666666666667,5.2,0.0,22.416666666666668,2893
21,2018-06-23,464,68,31,532,102,274,88,3.426,14349,10.11,26,495,246,33,90,2.049,5,1,2.739,8595.0,5.0,12.0,1155.0,258.0,12.0,15.0,1.246,57.38333333333333,0.13333333333333333,0.0,11.016666666666667,6.083333333333333,0.0,15.45,5404
22,2018-06-24,357,66,24,423,55,225,77,3.721,16829,10.84,38,483,208,117,100,2.447,6,1,3.426,14349.0,10.11,26.0,495.0,246.0,33.0,90.0,2.049,63.416666666666664,0.9,0.0,0.13333333333333333,7.366666666666666,19.1,0.1,5461
23,2018-06-25,387,49,28,436,89,206,92,2.717,9922,5.43,7,744,216,45,12,1.275,0,0,3.721,16829.0,10.84,38.0,483.0,208.0,117.0,100.0,2.447,13.65,0.0,0.0,0.0,1.6333333333333333,21.4,0.0,2201
24,2018-06-26,469,74,26,543,119,241,109,2.702,9903,6.24,7,744,208,40,12,1.217,1,0,2.717,9922.0,5.43,7.0,744.0,216.0,45.0,12.0,1.275,72.13333333333334,0.0,2.2666666666666666,0.0,0.0,0.0,29.716666666666665,6247
25,2018-06-27,391,68,24,459,87,222,82,2.669,9351,5.93,6,655,208,31,3,1.175,2,0,2.702,9903.0,6.24,7.0,744.0,208.0,40.0,12.0,1.217,1.4,0.0,0.0,0.0,0.0,0.0,2.183333333333333,215
26,2018-06-28,372,57,18,429,72,215,85,2.273,5492,3.3,6,827,154,0,0,0.669,3,0,2.669,9351.0,5.93,6.0,655.0,208.0,31.0,3.0,1.175,19.816666666666666,2.283333333333333,0.0,0.0,1.3166666666666667,0.0,77.63333333333334,6063
27,2018-06-29,236,22,19,258,4,161,71,2.661,9309,5.84,7,751,251,9,0,1.169,4,0,2.273,5492.0,3.3,6.0,827.0,154.0,0.0,0.0,0.669,14.783333333333333,0.0,0.0,0.0,0.0,0.0,15.5,1817
28,2018-06-30,388,40,21,428,99,196,93,3.825,17055,10.58,83,680,378,64,60,2.522,5,1,2.661,9309.0,5.84,7.0,751.0,251.0,9.0,0.0,1.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,2018-07-02,354,60,20,414,89,192,73,3.516,13852,9.31,103,621,185,48,115,2.091,0,0,3.734,11614.0,6.9,51.0,511.0,405.0,69.0,27.0,2.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,2018-07-03,443,47,25,490,130,204,109,3.018,11022,6.89,44,689,292,25,20,1.558,1,0,3.516,13852.0,9.31,103.0,621.0,185.0,48.0,115.0,2.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31,2018-07-04,138,13,1,151,38,100,0,2.92,11140,7.3,32,626,277,23,24,1.476,2,0,3.018,11022.0,6.89,44.0,689.0,292.0,25.0,20.0,1.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,2018-07-05,338,50,25,388,63,196,79,2.351,6408,4.0,7,1104,185,0,0,0.801,3,0,2.92,11140.0,7.3,32.0,626.0,277.0,23.0,24.0,1.476,76.66666666666667,0.55,0.0,0.0,0.0,0.0,26.166666666666668,6203
33,2018-07-06,521,89,35,610,104,314,103,2.487,6717,3.83,3,820,232,0,0,0.989,4,0,2.351,6408.0,4.0,7.0,1104.0,185.0,0.0,0.0,0.801,8.633333333333333,2.316666666666667,0.0,0.0,0.0,0.0,60.4,4281
34,2018-07-07,437,82,24,519,62,322,53,3.004,10525,8.62,28,439,184,23,57,1.511,5,1,2.487,6717.0,3.83,3.0,820.0,232.0,0.0,0.0,0.989,104.06666666666666,0.0,0.0,15.983333333333333,8.65,0.0,2.3,7860
35,2018-07-08,370,42,25,412,72,198,100,2.359,4240,2.35,3,723,198,0,0,0.798,6,1,3.004,10525.0,8.62,28.0,439.0,184.0,23.0,57.0,1.511,175.81666666666666,0.0,0.0,0.23333333333333334,0.8833333333333333,62.46666666666667,2.6666666666666665,14524
36,2018-07-09,357,62,25,419,61,252,44,2.667,11224,7.27,31,801,150,41,36,1.131,0,0,2.359,4240.0,2.35,3.0,723.0,198.0,0.0,0.0,0.798,46.56666666666667,0.3333333333333333,0.0,0.0,0.0,0.0,22.0,4134
37,2018-07-10,440,57,25,497,75,276,89,2.67,9390,5.83,7,765,216,34,6,1.179,1,0,2.667,11224.0,7.27,31.0,801.0,150.0,41.0,36.0,1.131,24.15,3.933333333333333,0.0,0.0,2.9833333333333334,0.0,67.73333333333333,5928
38,2018-07-11,374,53,27,427,67,211,96,2.505,6202,3.57,5,702,241,0,0,0.97,2,0,2.67,9390.0,5.83,7.0,765.0,216.0,34.0,6.0,1.179,39.8,0.0,0.0,4.983333333333333,0.0,0.0,55.68333333333333,6028
39,2018-07-12,341,39,29,380,62,234,45,2.576,8219,4.97,6,785,176,39,13,1.082,3,0,2.505,6202.0,3.57,5.0,702.0,241.0,0.0,0.0,0.97,62.55,4.416666666666667,0.0,2.0166666666666666,10.816666666666666,0.3,25.716666666666665,6349
40,2018-07-13,125,0,0,125,25,100,0,2.702,11072,7.67,23,813,205,9,33,1.191,4,0,2.576,8219.0,4.97,6.0,785.0,176.0,39.0,13.0,1.082,18.45,5.433333333333334,0.0,0.0,0.0,1.7666666666666666,20.483333333333334,2768
41,2018-07-14,365,38,19,403,59,210,96,3.131,12793,8.18,5,931,356,16,12,1.755,5,1,2.702,11072.0,7.67,23.0,813.0,205.0,9.0,33.0,1.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
42,2018-07-15,328,58,21,386,38,209,81,3.015,12039,7.03,8,668,369,0,0,1.595,6,1,3.131,12793.0,8.18,5.0,931.0,356.0,16.0,12.0,1.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
43,2018-07-16,370,54,25,424,59,236,75,3.144,13035,10.05,28,734,221,47,52,1.743,0,0,3.015,12039.0,7.03,8.0,668.0,369.0,0.0,0.0,1.595,38.266666666666666,1.25,0.0,0.0,0.0,0.0,12.9,3145
44,2018-07-18,363,59,23,422,77,209,77,2.424,7090,4.1,4,1209,231,0,0,0.947,2,0,2.851,12144.0,9.21,34.0,769.0,175.0,8.0,64.0,1.388,36.71666666666667,1.5833333333333333,0.0,0.26666666666666666,0.0,36.75,12.85,5290
45,2018-07-19,386,64,28,450,77,208,101,2.746,9231,5.53,14,719,258,17,24,1.286,3,0,2.424,7090.0,4.1,4.0,1209.0,231.0,0.0,0.0,0.947,11.483333333333333,1.3166666666666667,0.0,4.516666666666667,0.0,0.0,9.9,1633
46,2018-07-20,416,47,17,463,75,233,108,2.557,8545,5.16,14,760,230,0,0,1.008,4,0,2.746,9231.0,5.53,14.0,719.0,258.0,17.0,24.0,1.286,4.083333333333333,0.0,0.0,0.0,0.0,0.0,0.18333333333333332,256
47,2018-07-21,332,35,12,367,79,179,74,3.304,14630,9.3,39,582,294,69,32,1.95,5,1,2.557,8545.0,5.16,14.0,760.0,230.0,0.0,0.0,1.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48,2018-07-23,380,53,19,433,80,226,74,3.079,16756,11.9,37,1160,176,9,95,1.644,0,0,2.388,6472.0,4.02,7.0,886.0,170.0,12.0,5.0,0.81,47.18333333333333,0.0,0.0,22.433333333333334,0.43333333333333335,0.0,11.116666666666667,4870
49,2018-07-24,394,52,26,446,67,241,86,2.483,7404,4.63,9,775,219,3,10,0.96,1,0,3.079,16756.0,11.9,37.0,1160.0,176.0,9.0,95.0,1.644,7.15,1.4666666666666666,0.0,0.016666666666666666,0.0,0.0,15.466666666666667,1446
50,2018-07-25,386,52,26,438,91,195,100,3.429,18084,13.05,30,662,187,28,117,2.027,2,0,2.483,7404.0,4.63,9.0,775.0,219.0,3.0,10.0,0.96,10.733333333333333,8.866666666666667,0.0,0.9333333333333333,0.0,0.0,4.166666666666667,1482
51,2018-07-26,373,51,26,424,48,268,57,3.853,22305,15.63,27,580,231,45,146,2.546,3,0,3.429,18084.0,13.05,30.0,662.0,187.0,28.0,117.0,2.027,38.28333333333333,4.15,0.0,0.0,0.0,0.0,17.483333333333334,3595
52,2018-07-28,459,71,30,530,94,289,76,3.235,12097,7.4,26,143,220,91,54,1.877,5,1,2.524,7878.0,4.74,6.0,679.0,224.0,6.0,7.0,1.02,98.41666666666667,0.5166666666666667,0.05,0.0,9.95,0.0,0.1,6542
53,2018-07-30,417,77,25,494,94,233,90,2.732,11366,10.16,29,1232,142,5,61,1.237,0,0,3.255,17494.0,12.65,21.0,583.0,174.0,53.0,100.0,1.86,8.416666666666666,5.133333333333334,0.0,0.0,0.05,0.0,11.666666666666666,1516
