Start Time,End Time,Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2018-06-01 12:18AM,2018-06-01 6:39AM,5/31/2018,341,40,21,381,68,215,58
2018-06-02 2:07AM,2018-06-02 9:40AM,6/1/2018,403,50,19,453,85,222,96
2018-06-03 2:53AM,2018-06-03 9:23AM,6/2/2018,333,57,29,390,50,223,60
2018-06-03 11:26PM,2018-06-04 6:36AM,6/3/2018,388,42,26,430,54,251,83
2018-06-05 12:18AM,2018-06-05 7:12AM,6/4/2018,369,45,25,414,92,203,74
2018-06-05 11:46PM,2018-06-06 6:38AM,6/5/2018,350,62,21,412,67,204,79
2018-06-06 11:20PM,2018-06-07 6:35AM,6/6/2018,373,62,20,435,81,223,69
2018-06-07 11:03PM,2018-06-08 6:51AM,6/7/2018,414,54,33,468,71,277,66
2018-06-09 12:32AM,2018-06-09 10:15AM,6/8/2018,498,85,28,583,124,251,123
2018-06-10 3:35AM,2018-06-10 11:18AM,6/9/2018,402,61,27,463,69,234,99
2018-06-10 11:45PM,2018-06-11 6:41AM,6/10/2018,337,78,28,415,14,252,71
2018-06-11 10:44PM,2018-06-12 6:39AM,6/11/2018,384,91,28,475,100,205,79
2018-06-12 11:14PM,2018-06-13 6:45AM,6/12/2018,406,45,30,451,84,228,94
2018-06-13 11:03PM,2018-06-14 6:46AM,6/13/2018,392,71,29,463,67,227,98
2018-06-14 10:55PM,2018-06-15 6:54AM,6/14/2018,416,63,27,479,72,265,79
2018-06-16 2:24AM,2018-06-16 10:47AM,6/15/2018,398,105,29,503,67,250,81
2018-06-17 12:58AM,2018-06-17 9:57AM,6/16/2018,470,69,37,539,69,297,104
2018-06-17 11:15PM,2018-06-18 6:31AM,6/17/2018,380,56,38,436,76,227,77
2018-06-18 11:15PM,2018-06-19 6:45AM,6/18/2018,386,64,23,450,65,240,81
2018-06-19 11:33PM,2018-06-20 6:43AM,6/19/2018,378,52,25,430,101,208,69
2018-06-20 11:58PM,2018-06-21 6:48AM,6/20/2018,363,46,34,409,58,233,72
2018-06-23 3:21AM,2018-06-23 10:57AM,6/22/2018,400,56,29,456,79,233,88
2018-06-24 12:31AM,2018-06-24 9:23AM,6/23/2018,464,68,31,532,102,274,88
2018-06-24 11:21PM,2018-06-25 6:24AM,6/24/2018,357,66,24,423,55,225,77
2018-06-25 11:15PM,2018-06-26 6:32AM,6/25/2018,387,49,28,436,89,206,92
2018-06-26 9:43PM,2018-06-27 6:46AM,6/26/2018,469,74,26,543,119,241,109
2018-06-27 10:40PM,2018-06-28 6:19AM,6/27/2018,391,68,24,459,87,222,82
2018-06-28 11:37PM,2018-06-29 6:46AM,6/28/2018,372,57,18,429,72,215,85
2018-06-30 3:44AM,2018-06-30 8:03AM,6/29/2018,236,22,19,258,4,161,71
2018-07-01 12:13AM,2018-07-01 7:21AM,6/30/2018,388,40,21,428,99,196,93
2018-07-02 1:08AM,2018-07-02 9:00AM,7/1/2018,424,47,28,471,77,258,89
2018-07-03 1:45AM,2018-07-03 8:40AM,7/2/2018,354,60,20,414,89,192,73
2018-07-04 12:51AM,2018-07-04 9:02AM,7/3/2018,443,47,25,490,130,204,109
2018-07-05 2:01AM,2018-07-05 4:32AM,7/4/2018,138,13,1,151,38,100,0
2018-07-06 12:24AM,2018-07-06 6:52AM,7/5/2018,338,50,25,388,63,196,79
2018-07-07 2:54AM,2018-07-07 1:04PM,7/6/2018,521,89,35,610,104,314,103
2018-07-08 2:36AM,2018-07-08 11:16AM,7/7/2018,437,82,24,519,62,322,53
2018-07-08 11:44PM,2018-07-09 6:37AM,7/8/2018,370,42,25,412,72,198,100
2018-07-09 11:46PM,2018-07-10 6:45AM,7/9/2018,357,62,25,419,61,252,44
2018-07-10 10:25PM,2018-07-11 6:43AM,7/10/2018,440,57,25,497,75,276,89
2018-07-11 11:37PM,2018-07-12 6:44AM,7/11/2018,374,53,27,427,67,211,96
2018-07-13 12:24AM,2018-07-13 6:44AM,7/12/2018,341,39,29,380,62,234,45
2018-07-14 6:03AM,2018-07-14 8:08AM,7/13/2018,125,0,0,125,25,100,0
2018-07-15 3:36AM,2018-07-15 10:19AM,7/14/2018,365,38,19,403,59,210,96
2018-07-16 12:16AM,2018-07-16 6:42AM,7/15/2018,328,58,21,386,38,209,81
2018-07-16 11:48PM,2018-07-17 6:52AM,7/16/2018,370,54,25,424,59,236,75
2018-07-18 11:54PM,2018-07-19 6:56AM,7/18/2018,363,59,23,422,77,209,77
2018-07-19 11:17PM,2018-07-20 6:47AM,7/19/2018,386,64,28,450,77,208,101
2018-07-21 1:08AM,2018-07-21 8:52AM,7/20/2018,416,47,17,463,75,233,108
2018-07-22 2:41AM,2018-07-22 8:48AM,7/21/2018,332,35,12,367,79,179,74
2018-07-23 11:34PM,2018-07-24 6:47AM,7/23/2018,380,53,19,433,80,226,74
2018-07-24 11:23PM,2018-07-25 6:50AM,7/24/2018,394,52,26,446,67,241,86
2018-07-25 11:36PM,2018-07-26 6:54AM,7/25/2018,386,52,26,438,91,195,100
2018-07-27 12:02AM,2018-07-27 7:06AM,7/26/2018,373,51,26,424,48,268,57
2018-07-29 1:59AM,2018-07-29 10:50AM,7/28/2018,459,71,30,530,94,289,76
2018-07-30 11:14PM,2018-07-31 7:29AM,7/30/2018,417,77,25,494,94,233,90
